,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
39,23,2,2,0,0,4,1,0,2,13,8,395,2,-1,0,3,1
40,60,1,1,0,0,1262,1,1,2,13,8,1015,1,-1,0,3,1
41,48,4,1,2,0,1949,1,0,2,13,8,683,2,-1,0,3,1
42,45,2,0,2,0,-395,1,0,2,13,8,470,1,-1,0,3,1
43,36,1,1,1,0,1165,1,0,2,13,8,1001,4,-1,0,3,1
44,52,4,1,3,0,2240,1,0,2,13,8,845,1,-1,0,3,1
45,35,1,0,0,0,300,1,0,2,13,8,945,2,-1,0,3,1
46,43,9,1,1,0,3285,1,0,2,13,8,1721,2,-1,0,3,1
47,52,3,1,1,0,3923,1,0,2,14,8,942,3,-1,0,3,1
48,53,9,0,0,0,1443,1,0,2,14,8,476,1,-1,0,3,1
49,48,1,0,0,0,24,1,0,2,14,8,832,1,-1,0,3,1
50,41,1,2,0,0,1618,1,0,2,14,8,1553,1,-1,0,3,1
51,39,4,0,2,0,517,1,1,2,14,8,1328,1,-1,0,3,1
52,59,5,1,1,0,1521,1,1,2,14,8,1125,2,-1,0,3,1
53,41,1,1,1,0,2823,1,0,2,14,8,858,1,-1,0,3,1
54,48,1,1,1,0,1405,1,0,2,14,8,629,2,-1,0,3,1
55,40,0,1,1,0,1535,1,0,2,14,8,704,1,-1,0,3,1
56,48,1,1,1,0,1596,1,0,2,14,8,760,1,-1,0,3,1
57,60,5,1,0,0,1542,1,0,2,14,8,930,1,-1,0,3,1
58,40,9,2,3,0,3652,1,0,2,14,8,1028,2,-1,0,3,1
59,57,9,1,2,0,-1,0,0,2,14,8,850,2,-1,0,3,1
60,51,1,1,1,0,7180,1,0,2,14,8,927,1,-1,0,3,1
61,41,1,0,1,0,5291,1,0,2,14,8,1423,3,-1,0,3,1
62,41,1,1,1,0,1384,1,0,2,15,8,1162,4,-1,0,3,1
63,52,1,0,0,0,-191,1,0,2,15,8,755,1,-1,0,3,1
64,59,1,1,0,0,320,1,0,2,15,8,695,1,-1,0,3,1
65,44,1,1,3,0,146,1,0,2,15,8,483,1,-1,0,3,1
66,49,11,1,0,0,341,1,1,2,15,8,520,2,-1,0,3,1
67,40,7,1,0,0,-9,1,0,2,15,8,920,2,-1,0,3,1
68,41,0,1,0,0,-306,1,0,2,15,8,500,1,-1,0,3,1
69,44,9,1,2,0,4580,1,0,2,15,8,911,2,-1,0,3,1
70,60,7,2,0,0,313,1,0,2,15,8,920,2,-1,0,3,1
71,29,4,1,2,0,10576,0,0,2,15,8,1224,2,-1,0,3,1
72,41,5,0,0,0,-233,1,0,2,15,8,1156,2,-1,0,3,1
73,41,1,1,0,0,2453,1,0,2,15,8,1052,1,-1,0,3,1
74,42,9,2,1,0,1364,1,0,2,15,8,1867,6,-1,0,3,1
75,36,7,2,3,0,281,1,0,2,16,8,515,1,-1,0,3,1
76,39,9,1,2,0,94,1,1,2,16,8,813,1,-1,0,3,1
77,31,6,2,2,0,144,1,0,2,16,8,676,1,-1,0,3,1
78,26,1,1,1,0,246,1,0,2,16,8,1143,3,-1,0,3,1
79,31,1,1,1,0,92,1,0,2,16,8,688,1,-1,0,3,1
80,29,0,2,1,0,163,1,1,2,16,8,803,1,-1,0,3,1
81,37,7,0,1,0,49,1,0,2,16,8,619,2,-1,0,3,1
82,33,1,2,1,0,-416,1,0,2,16,8,767,2,-1,0,3,1
83,24,9,2,1,0,409,1,0,2,16,8,912,1,-1,0,3,1
84,50,0,0,1,0,363,1,0,2,16,8,1340,1,-1,0,3,1
85,27,9,2,2,0,3706,1,0,2,16,8,897,1,-1,0,3,1
86,54,4,2,2,0,4393,1,0,2,16,8,1297,3,-1,0,3,1
87,30,9,2,1,0,863,1,0,2,16,8,1193,5,-1,0,3,1
88,34,1,1,0,0,695,1,1,2,16,8,1064,4,-1,0,3,1
89,37,4,2,1,0,792,1,0,2,16,8,1187,4,-1,0,3,1
90,41,0,2,1,0,1020,1,0,2,19,8,882,1,-1,0,3,1
91,47,1,1,1,0,863,1,0,2,19,8,943,2,-1,0,3,1
92,31,0,1,1,0,97,1,0,2,19,8,607,1,-1,0,3,1
93,31,1,1,1,0,754,1,0,2,19,8,1022,4,-1,0,3,1
94,43,7,0,1,0,1040,1,0,2,19,8,552,3,-1,0,3,1
95,37,4,0,2,0,122,1,0,2,19,8,1622,2,-1,0,3,1
96,30,9,2,2,0,880,1,1,2,19,8,967,6,-1,0,3,1
97,41,9,1,1,0,501,1,0,2,19,8,579,5,-1,0,3,1
98,36,1,1,1,0,4438,1,0,2,20,8,446,1,-1,0,3,1
99,35,1,0,1,0,0,1,0,2,20,8,1205,1,-1,0,3,1
100,29,7,2,1,0,271,1,0,2,20,8,1882,2,-1,0,3,1
101,35,1,1,0,0,102,1,0,2,20,8,1334,1,-1,0,3,1
102,31,1,1,1,0,2,1,0,2,20,8,182,2,-1,0,3,1
103,35,7,1,1,0,4170,1,0,2,20,8,1777,1,-1,0,3,1
104,34,9,2,1,0,85,1,0,2,20,8,1182,4,-1,0,3,1
105,31,0,2,1,0,431,1,1,2,20,8,1045,1,-1,0,3,1
106,44,9,0,1,0,982,1,0,2,20,8,650,3,-1,0,3,1
107,36,1,1,0,0,408,1,1,2,20,8,1063,2,-1,0,3,1
108,35,1,1,3,0,4822,1,0,2,20,8,843,2,-1,0,3,1
109,41,1,1,0,0,1250,1,0,2,20,8,1392,2,-1,0,3,1
110,31,1,2,0,0,216,1,0,2,21,8,565,1,-1,0,3,1
111,34,1,1,1,0,1207,1,0,2,21,8,905,1,-1,0,3,1
112,32,9,1,1,0,791,1,0,2,21,8,783,2,-1,0,3,1
113,36,4,1,2,0,849,1,1,2,21,8,958,2,-1,0,3,1
114,30,1,2,1,1,239,1,0,2,21,8,412,1,-1,0,3,1
115,37,9,2,1,0,1211,1,0,2,21,8,795,1,-1,0,3,1
116,36,1,1,0,0,599,1,0,2,21,8,649,2,-1,0,3,1
117,31,4,2,2,0,825,1,0,2,21,8,506,2,-1,0,3,1
118,27,9,1,1,0,2183,1,1,2,21,8,857,1,-1,0,3,1
119,34,5,1,0,0,4499,0,0,2,21,8,1681,1,-1,0,3,1
120,30,9,2,2,0,1289,1,0,2,21,8,1697,2,-1,0,3,1
121,32,9,2,2,0,4665,1,0,2,21,8,860,2,-1,0,3,1
122,37,9,2,1,0,3326,1,0,2,21,8,799,1,-1,0,3,1
123,32,1,1,1,0,783,1,0,2,21,8,923,3,-1,0,3,1
124,33,1,1,1,0,0,1,0,2,21,8,521,3,-1,0,3,1
125,35,1,1,0,0,994,1,0,2,23,8,1349,8,-1,0,3,1
126,35,6,0,2,0,1354,1,0,2,23,8,736,2,-1,0,3,1
127,30,1,2,1,0,239,1,0,2,23,8,785,1,-1,0,3,1
128,45,1,0,0,0,-311,1,0,2,23,8,1030,1,-1,0,3,1
129,45,0,1,1,0,149,1,0,2,23,8,893,3,-1,0,3,1
130,33,1,1,1,0,1464,1,0,2,23,8,588,3,-1,0,3,1
131,44,4,0,2,0,5773,0,0,2,23,8,597,6,-1,0,3,1
132,40,1,1,0,0,278,1,0,2,23,8,1015,3,-1,0,3,1
133,31,1,1,1,0,2910,1,0,2,23,8,1392,2,-1,0,3,1
134,30,9,1,2,0,541,1,0,2,26,8,414,2,-1,0,3,1
135,44,9,0,1,0,1262,1,0,2,26,8,788,11,-1,0,3,1
136,34,7,1,1,0,-538,1,0,2,26,8,682,1,-1,0,3,1
137,37,1,1,1,0,125,0,0,2,26,8,679,2,-1,0,3,1
138,28,6,2,2,0,0,1,0,2,26,8,1560,2,-1,0,3,1
139,32,0,2,1,0,620,1,0,2,26,8,1234,3,-1,0,3,1
140,37,1,0,1,0,316,1,0,2,26,8,642,2,-1,0,3,1
141,34,4,1,2,0,2287,1,0,2,26,8,895,4,-1,0,3,1
142,38,0,0,1,0,198,1,0,2,26,8,431,2,-1,0,3,1
143,28,0,2,1,0,460,1,0,2,26,8,741,6,-1,0,3,1
144,31,4,0,2,0,1145,1,0,2,26,8,1272,4,-1,0,3,1
145,59,7,1,1,0,-22,1,0,2,26,8,748,3,-1,0,3,1
146,24,1,1,1,0,685,1,0,2,26,8,896,3,-1,0,3,1
147,26,7,2,1,0,901,1,0,2,26,8,764,2,-1,0,3,1
148,59,5,2,1,0,351,1,0,2,27,8,1063,5,-1,0,3,1
149,30,2,2,0,0,0,1,1,2,27,8,1051,1,-1,0,3,1
150,37,0,1,1,0,274,1,0,2,27,8,731,3,-1,0,3,1
151,30,0,2,1,0,-213,1,1,2,27,8,751,1,-1,0,3,1
152,25,1,1,1,0,97,1,0,2,27,8,709,1,-1,0,3,1
153,44,7,0,1,0,51,1,1,2,27,8,3094,2,-1,0,3,1
154,29,4,1,2,0,314,0,0,2,28,8,938,2,-1,0,3,1
155,26,4,2,2,0,6840,1,0,2,28,8,1560,2,-1,0,3,1
156,26,9,2,1,0,668,1,0,2,28,8,576,3,-1,0,3,1
157,27,7,2,1,0,54,1,0,2,28,8,543,2,-1,0,3,1
158,25,6,2,1,0,1242,1,0,2,28,8,615,2,-1,0,3,1
159,28,4,1,1,0,292,1,0,2,28,8,507,1,-1,0,3,1
160,23,7,2,1,0,665,1,0,2,28,8,1183,1,-1,0,3,1
161,34,4,2,2,0,1058,1,0,2,28,8,864,2,-1,0,3,1
162,28,8,2,1,0,949,1,0,2,28,8,1730,1,-1,0,3,1
163,51,2,1,3,0,606,1,0,2,28,8,560,9,-1,0,3,1
164,35,1,1,1,0,0,1,1,2,29,8,543,1,-1,0,3,1
165,35,0,1,1,0,404,1,0,2,29,8,539,1,-1,0,3,1
166,56,1,1,1,0,249,1,0,2,29,8,791,2,-1,0,3,1
167,45,10,0,1,0,3354,1,0,2,29,8,746,1,-1,0,3,1
168,60,1,0,1,0,0,1,0,2,29,8,1207,1,-1,0,3,1
169,56,9,1,1,0,589,1,0,2,29,8,535,2,-1,0,3,1
170,27,4,2,2,0,12956,1,0,2,29,8,789,3,-1,0,3,1
171,30,0,1,1,0,873,1,0,2,29,8,792,3,-1,0,3,1
172,45,1,0,0,0,594,1,0,2,29,8,833,2,-1,0,3,1
173,29,1,2,1,0,-20,1,0,2,29,8,814,2,-1,0,3,1
174,38,4,0,2,0,4692,1,0,2,29,8,1363,2,-1,0,3,1
175,30,1,1,1,0,486,1,0,2,29,8,1109,3,-1,0,3,1
176,44,1,2,0,0,1593,1,0,2,29,8,828,3,-1,0,3,1
177,36,4,2,2,0,7606,1,0,2,30,8,917,1,-1,0,3,1
178,38,9,1,1,0,226,1,0,2,30,8,762,3,-1,0,3,1
179,36,1,2,1,0,366,1,1,2,30,8,1133,2,-1,0,3,1
180,37,4,0,1,0,16,1,0,2,30,8,638,1,-1,0,3,1
181,35,4,2,2,0,565,1,0,2,30,8,763,1,-1,0,3,1
182,38,0,0,1,0,19,1,0,2,30,8,604,2,-1,0,3,1
183,40,7,1,0,0,1082,1,0,2,30,8,854,2,-1,0,3,1
184,42,10,0,1,0,1713,1,0,2,30,8,855,2,-1,0,3,1
185,46,4,0,2,0,14481,1,0,2,30,8,1269,1,-1,0,3,1
186,35,9,0,1,0,5724,1,0,2,30,8,691,10,-1,0,3,1
187,34,9,0,1,0,1451,1,0,2,30,8,1097,15,-1,0,3,1
188,32,7,1,1,0,-34,1,0,2,30,8,1236,2,-1,0,3,1
189,50,10,1,1,0,3674,1,0,2,30,8,886,3,-1,0,3,1
190,35,1,1,1,0,698,1,1,2,30,8,1343,3,-1,0,3,1
191,36,9,2,1,0,4136,1,0,2,30,8,812,3,-1,0,3,1
192,53,1,0,0,0,2656,1,0,2,30,8,1980,2,-1,0,3,1
193,46,4,2,2,0,2904,1,0,2,30,8,984,2,-1,0,3,1
194,26,4,2,2,0,1004,1,0,2,30,8,228,2,-1,0,3,1
195,45,9,2,1,0,410,1,0,2,30,8,891,4,-1,0,3,1
196,31,10,0,0,0,0,1,0,2,30,8,745,12,-1,0,3,1
197,29,4,2,2,0,0,1,0,2,30,8,539,12,-1,0,3,1
198,53,2,2,1,0,62,1,0,2,30,8,1044,5,-1,0,3,1
199,27,1,1,0,0,416,1,0,2,30,8,1193,2,-1,0,3,1
200,39,4,1,2,0,2763,1,0,2,2,6,526,2,-1,0,3,1
201,36,7,1,1,0,2984,1,0,2,2,6,394,1,-1,0,3,1
202,41,1,1,0,0,143,1,1,2,2,6,659,2,-1,0,3,1
203,36,7,1,0,0,0,1,0,2,2,6,1036,1,-1,0,3,1
204,32,9,1,1,0,696,1,0,2,2,6,815,1,-1,0,3,1
205,35,7,1,1,0,152,1,0,2,2,6,563,1,-1,0,3,1
206,36,4,2,2,0,-78,1,0,2,2,6,1068,1,-1,0,3,1
207,35,4,1,2,0,867,1,0,2,2,6,230,3,-1,0,3,1
208,30,1,2,1,0,953,1,0,2,2,6,747,2,-1,0,3,1
209,42,1,1,1,0,443,1,0,2,2,6,671,5,-1,0,3,1
210,42,9,2,1,1,-1129,1,0,2,2,6,555,5,-1,0,3,1
211,32,1,1,0,0,415,1,0,2,2,6,777,4,-1,0,3,1
212,29,1,2,1,0,260,1,0,2,2,6,707,14,-1,0,3,1
213,44,4,0,2,1,-411,1,0,2,2,6,432,4,-1,0,3,1
214,32,9,2,1,0,1279,1,0,2,3,6,1173,3,-1,0,3,1
215,31,10,1,1,0,86,1,1,2,3,6,963,2,-1,0,3,1
216,40,6,1,1,1,-754,1,1,2,3,6,941,3,-1,0,3,1
217,43,2,1,1,0,0,0,0,2,3,6,1025,7,-1,0,3,1
218,27,4,2,1,0,178,1,0,2,3,6,732,2,-1,0,3,1
219,37,7,2,1,0,278,1,0,2,3,6,1045,3,-1,0,3,1
220,23,7,2,1,0,425,1,0,2,3,6,768,1,-1,0,3,1
221,25,4,1,0,0,168,1,0,2,3,6,801,1,-1,0,3,1
222,26,1,2,1,1,-36,1,0,2,3,6,482,2,-1,0,3,1
223,47,1,0,0,0,126,1,0,2,3,6,2456,2,-1,0,3,1
224,35,0,1,1,0,-87,1,0,2,3,6,1363,7,-1,0,3,1
225,32,9,2,2,0,6281,1,0,2,3,6,1336,4,-1,0,3,1
226,45,4,0,1,0,644,1,0,2,4,6,633,1,-1,0,3,1
227,30,0,0,1,0,377,1,0,2,4,6,524,15,-1,0,3,1
228,29,7,2,1,0,-271,1,0,2,4,6,578,1,-1,0,3,1
229,38,1,1,0,0,5839,1,0,2,4,6,984,2,-1,0,3,1
230,23,1,2,1,0,492,1,0,2,4,6,638,1,-1,0,3,1
231,27,4,2,2,0,99,1,0,2,4,6,767,2,-1,0,3,1
232,27,4,2,2,1,-713,1,0,2,4,6,525,2,-1,0,3,1
233,29,7,2,1,0,32,1,0,2,4,6,563,1,-1,0,3,1
234,30,6,1,2,0,543,1,1,2,4,6,1449,6,-1,0,3,1
235,36,1,1,0,0,403,1,0,2,4,6,920,1,-1,0,3,1
236,35,0,0,1,0,437,1,0,2,4,6,908,1,-1,0,3,1
237,36,1,1,1,0,1772,0,0,2,5,6,208,1,-1,0,3,1
238,59,5,0,0,0,-88,1,0,2,5,6,910,2,-1,0,3,1
239,47,2,1,1,0,0,0,0,2,5,6,1446,1,-1,0,3,1
240,58,2,1,2,0,853,0,0,2,5,6,1149,2,-1,0,3,1
241,37,4,2,2,0,240,0,0,2,5,6,1123,1,-1,0,3,1
242,46,0,2,1,0,849,1,0,2,5,6,508,2,-1,0,3,1
243,43,1,2,1,0,318,1,0,2,5,6,736,2,-1,0,3,1
244,27,4,2,2,0,703,1,0,2,5,6,590,3,-1,0,3,1
245,38,7,0,1,0,61,0,0,2,5,6,636,1,-1,0,3,1
246,53,3,1,0,0,104,0,1,2,5,6,701,1,-1,0,3,1
247,47,1,1,1,0,1996,0,0,2,5,6,761,2,-1,0,3,1
248,56,3,0,0,1,1238,0,0,2,5,6,1558,1,-1,0,3,1
249,41,3,1,1,0,879,0,0,2,5,6,1053,2,-1,0,3,1
250,29,6,1,1,0,425,1,0,2,5,6,562,15,-1,0,3,1
251,50,9,1,1,0,416,1,0,2,5,6,494,5,-1,0,3,1
252,45,1,0,0,0,844,0,0,2,5,6,1018,3,-1,0,3,1
253,35,1,1,1,0,860,1,0,2,5,6,884,4,-1,0,3,1
254,26,9,2,1,0,639,1,0,2,6,6,709,5,-1,0,3,1
255,26,0,1,1,0,710,1,1,2,6,6,1276,2,-1,0,3,1
256,37,1,1,3,0,1508,0,1,2,6,6,381,2,-1,0,3,1
257,30,0,2,1,0,223,1,0,2,6,6,862,11,-1,0,3,1
258,38,4,2,2,0,619,1,0,2,6,6,460,4,-1,0,3,1
259,37,7,0,1,0,319,1,0,2,6,6,467,3,-1,0,3,1
260,53,9,1,1,0,480,0,0,2,6,6,648,2,-1,0,3,1
261,29,1,2,0,0,213,1,0,2,6,6,2653,3,-1,0,3,1
262,35,4,2,2,0,68,0,0,2,6,6,1085,1,-1,0,3,1
263,28,1,1,1,0,2788,1,0,2,6,6,369,2,-1,0,3,1
264,55,1,1,3,0,7561,0,0,2,6,6,685,3,-1,0,3,1
265,49,4,0,1,0,-46,1,0,2,9,6,1055,10,-1,0,3,1
266,50,7,1,1,0,1595,0,0,2,9,6,882,1,-1,0,3,1
267,43,4,2,2,0,1046,0,0,2,9,6,901,1,-1,0,3,1
268,58,6,0,2,0,1382,0,0,2,9,6,700,1,-1,0,3,1
269,38,9,1,0,0,217,1,0,2,9,6,491,6,-1,0,3,1
270,48,1,0,0,0,183,0,0,2,9,6,940,1,-1,0,3,1
271,59,4,1,1,0,1321,0,0,2,9,6,3881,3,-1,0,3,1
272,58,1,1,1,0,25,0,0,2,9,6,486,3,-1,0,3,1
273,36,6,2,2,0,4844,0,0,2,9,6,1137,3,-1,0,3,1
274,42,2,1,2,0,5345,0,0,2,11,6,878,3,-1,0,3,1
275,41,0,2,1,0,812,0,1,2,11,6,583,4,-1,0,3,1
276,42,0,1,1,0,105,0,0,2,11,6,1159,4,-1,0,3,1
277,39,4,1,2,0,-190,0,1,2,11,6,893,8,-1,0,3,1
278,57,3,1,0,0,625,0,1,2,11,6,867,1,-1,0,3,1
279,52,5,1,3,0,293,0,0,2,11,6,706,1,-1,0,3,1
280,59,5,1,3,0,1033,0,0,2,11,6,1199,1,-1,0,3,1
281,56,1,1,1,0,1210,0,0,2,11,6,935,1,-1,0,3,1
282,49,4,1,2,0,64,0,0,2,11,6,586,1,-1,0,3,1
283,35,1,0,3,0,164,0,0,2,11,6,967,2,-1,0,3,1
284,36,10,1,1,0,1766,0,0,2,11,6,595,2,-1,0,3,1
285,40,0,2,2,0,1248,0,0,2,11,6,1290,2,-1,0,3,1
286,55,1,1,1,0,0,0,0,2,12,6,614,2,-1,0,3,1
287,58,0,1,1,0,826,0,0,2,12,6,885,1,-1,0,3,1
288,39,6,1,2,0,2630,0,0,2,12,6,651,5,-1,0,3,1
289,47,3,2,2,0,3727,0,0,2,12,6,993,6,-1,0,3,1
290,40,4,1,1,0,406,1,0,2,12,6,577,2,-1,0,3,1
291,35,1,1,2,0,2999,0,0,2,12,6,1141,6,-1,0,3,1
292,48,1,1,1,0,1000,1,0,2,12,6,1268,2,-1,0,3,1
293,48,4,0,2,0,503,0,1,2,12,6,1243,7,-1,0,3,1
294,24,1,2,1,1,-203,1,0,2,12,6,465,3,-1,0,3,1
295,49,1,1,0,0,361,1,0,2,16,6,513,2,-1,0,3,1
296,36,1,1,1,0,274,1,0,2,16,6,686,11,-1,0,3,1
297,52,5,0,2,0,3687,1,1,2,16,6,741,4,-1,0,3,1
298,42,2,2,3,0,323,0,0,2,16,6,617,1,-1,0,3,1
299,36,7,1,1,0,981,0,0,2,16,6,1093,1,-1,0,3,1
300,36,1,0,1,0,638,1,0,2,16,6,1395,2,-1,0,3,1
301,48,10,2,2,0,3229,0,0,2,16,6,1089,1,-1,0,3,1
302,51,4,2,1,0,1610,1,0,2,16,6,1248,3,-1,0,3,1
303,51,1,1,1,0,33,0,1,2,16,6,721,3,-1,0,3,1
304,46,9,1,1,0,536,1,0,2,16,6,750,2,-1,0,3,1
305,37,4,1,2,0,0,0,0,2,16,6,637,6,-1,0,3,1
306,36,2,1,2,0,3057,0,0,2,16,6,2769,4,-1,0,3,1
307,47,4,1,1,0,2892,0,0,2,17,6,556,1,-1,0,3,1
308,40,9,0,2,0,0,0,0,2,17,6,522,1,-1,0,3,1
309,38,8,2,2,0,3316,0,0,2,17,6,1345,3,-1,0,3,1
310,40,4,1,1,0,106,0,0,2,17,6,676,2,-1,0,3,1
311,39,1,1,0,0,2303,1,0,2,17,6,775,3,-1,0,3,1
312,60,4,1,2,0,3301,0,0,2,17,6,2621,3,-1,0,3,1
313,39,6,2,2,0,426,0,0,2,18,6,1029,1,-1,0,3,1
314,51,7,0,1,0,9,0,0,2,18,6,371,2,-1,0,3,1
315,27,0,1,1,0,-97,1,0,2,18,6,1528,2,-1,0,3,1
316,41,4,2,2,0,11008,0,0,2,18,6,1540,1,-1,0,3,1
317,42,1,2,0,0,4930,0,0,2,18,6,973,1,-1,0,3,1
318,41,2,1,1,0,707,0,0,2,18,6,707,1,-1,0,3,1
319,33,9,1,1,0,4,1,1,2,18,6,625,2,-1,0,3,1
320,46,0,1,1,0,126,0,0,2,18,6,1255,1,-1,0,3,1
321,31,1,1,1,0,671,1,0,2,18,6,704,4,-1,0,3,1
322,41,1,1,0,0,219,0,1,2,18,6,1574,3,-1,0,3,1
323,41,1,0,1,0,3622,0,0,2,19,6,1135,4,-1,0,3,1
324,55,5,0,1,0,1580,0,1,2,19,6,1007,1,-1,0,3,1
325,53,9,1,1,0,1319,0,0,2,19,6,1318,3,-1,0,3,1
326,55,3,1,0,0,2152,0,0,2,19,6,922,2,-1,0,3,1
327,39,7,1,1,0,2843,1,0,2,19,6,585,1,-1,0,3,1
328,40,2,1,2,1,0,0,0,2,19,6,952,4,-1,0,3,1
329,59,5,1,0,0,1115,0,0,2,19,6,834,1,-1,0,3,1
330,42,1,2,1,0,625,0,0,2,19,6,651,3,-1,0,3,1
331,41,1,1,0,0,246,0,0,2,19,6,683,3,-1,0,3,1
332,27,1,1,1,0,61,1,0,2,19,6,1012,1,-1,0,3,1
333,25,1,2,1,0,-191,1,0,2,19,6,958,7,-1,0,3,1
334,43,10,1,0,0,519,0,0,2,20,6,973,2,-1,0,3,1
335,44,7,1,1,0,522,0,1,2,20,6,911,1,-1,0,3,1
336,26,1,2,1,0,-46,1,0,2,20,6,382,7,-1,0,3,1
337,52,5,1,2,0,2269,0,0,2,20,6,1210,1,-1,0,3,1
338,54,7,1,3,0,386,0,1,2,20,6,838,1,-1,0,3,1
339,56,4,1,2,0,0,0,1,2,20,6,422,1,-1,0,3,1
340,57,4,1,2,0,9103,0,1,2,20,6,1098,2,-1,0,3,1
341,29,1,2,1,0,908,1,0,2,20,6,1663,1,-1,0,3,1
342,47,9,1,2,0,1694,0,1,2,20,6,560,3,-1,0,3,1
343,57,4,1,2,0,-92,1,1,2,20,6,1617,1,-1,0,3,1
344,40,1,1,1,0,188,1,1,2,20,6,570,2,-1,0,3,1
345,46,7,0,1,0,0,0,0,2,20,6,1023,3,-1,0,3,1
346,43,1,2,1,0,740,1,0,2,20,6,585,2,-1,0,3,1
347,45,4,1,2,0,655,0,0,2,20,6,693,3,-1,0,3,1
348,24,4,1,1,0,867,1,0,2,20,6,546,10,-1,0,3,1
349,40,1,1,1,0,1009,1,1,2,20,6,1036,5,-1,0,3,1
350,38,7,0,3,0,6360,0,0,2,20,6,1409,2,-1,0,3,1
351,36,10,1,2,0,4145,0,0,2,20,6,988,4,-1,0,3,1
352,27,1,2,1,1,-27,0,0,2,23,6,498,2,-1,0,3,1
353,26,0,2,0,0,-122,1,0,2,23,6,670,3,-1,0,3,1
354,43,4,1,2,0,149,1,0,2,23,6,662,2,-1,0,3,1
355,25,1,2,0,0,52,1,0,2,24,6,528,2,-1,0,3,1
356,27,1,1,2,0,335,1,0,2,26,6,519,3,-1,0,3,1
357,30,9,1,2,0,526,1,1,2,26,6,677,3,-1,0,3,1
358,28,0,2,1,0,-7,0,1,2,26,6,3183,2,-1,0,3,1
359,27,1,1,0,0,-413,0,1,2,27,6,422,6,-1,0,3,1
360,32,0,0,1,0,-241,0,1,2,27,6,856,2,-1,0,3,1
361,41,1,2,1,0,75,1,0,2,1,5,479,9,-1,0,3,1
362,37,9,2,2,0,0,0,0,2,1,5,1135,2,-1,0,3,1
363,27,9,2,1,0,158,0,0,2,1,5,650,2,-1,0,3,1
364,29,7,2,1,0,84,0,1,2,3,5,587,3,-1,0,3,1
365,33,7,1,1,0,114,0,1,2,3,5,676,1,-1,0,3,1
366,36,9,1,0,0,0,0,0,2,4,5,584,1,-1,0,3,1
367,28,1,2,1,0,-127,1,0,0,4,5,1044,3,-1,0,3,1
